# section	probe	template	task	models  (n=20 each, reps 1001-1020; baseline series batches use 1001-1020,1101-1120,…)
5.1-main	G_collide2_baseline	template_collide2	task.md	claude-opus-5,claude-sonnet-5
5.1-main	L2_collide2_order_strong	template_collide2	task.md	claude-opus-5,claude-sonnet-5
5.1-main	G_collide2_verdict_subst	template_collide2	task.md	claude-opus-5,claude-sonnet-5
5.1-main	M1_collide2_fact_only	template_collide2	task.md	claude-opus-5,claude-sonnet-5
5.1-main	M4_collide2_cond_difffunc	template_collide2	task.md	claude-opus-5,claude-sonnet-5
5.1-main	G_collide2_cond	template_collide2	task.md	claude-opus-5,claude-sonnet-5
5.1-main	G_collide2_cond_ownpred	template_collide2	task.md	claude-opus-5,claude-sonnet-5
5.1-main	L6_collide2_cond_noknowledge	template_collide2	task.md	claude-opus-5,claude-sonnet-5
5.1-main	M3_collide2_cond_size	template_collide2	task.md	claude-opus-5,claude-sonnet-5
5.1-main	M5_collide2_cond_sameline	template_collide2	task.md	claude-opus-5,claude-sonnet-5
5.5-5.6-antecedent	U7_collide2_repo_git	template_collide2	task.md	claude-opus-5
5.5-5.6-antecedent	U4_collide2_only_editing	template_collide2	task.md	claude-opus-5
5.5-5.6-antecedent	U5_collide2_in_formatprice	template_collide2	task.md	claude-opus-5
5.5-5.6-antecedent	W1_collide2_consequent_first	template_collide2	task.md	claude-opus-5
5.5-5.6-antecedent	W4_collide2_imperative_justified	template_collide2	task.md	claude-opus-5
5.2-noexception	N0_baseline	template3	task.md	claude-opus-5,claude-sonnet-5
5.2-noexception	N6_order	template3	task.md	claude-opus-5,claude-sonnet-5
5.2-noexception	N5_cond	template3	task.md	claude-opus-5,claude-sonnet-5
5.3-operator-tier	O0_baseline	template3	task.md	claude-sonnet-5
5.3-operator-tier	O1_op_order	template3	task.md	claude-sonnet-5
5.3-operator-tier	O2_op_cond	template3	task.md	claude-sonnet-5
5.3-operator-tier	O3_op_verdict	template3	task.md	claude-sonnet-5
5.4-source	C0_baseline	template3	task.md	claude-sonnet-5
5.4-source	C3_quoted_doc	template3	task.md	claude-sonnet-5
5.4-source	C4_senior	template3	task.md	claude-sonnet-5
5.4-source	C5_peer	template3	task.md	claude-sonnet-5
5.4-source	C1_contributing	tpl_contrib2	task.md	claude-sonnet-5
5.4-source	C2_comment	tpl_comment2	task.md	claude-sonnet-5
5.7-push	S0_push_baseline	template_push	task_push.md	claude-opus-5,claude-sonnet-5
5.7-push	S1_push_order_strong	template_push	task_push.md	claude-opus-5,claude-sonnet-5
5.7-push	S2_push_cond_size	template_push	task_push.md	claude-opus-5,claude-sonnet-5
5.7-push	S3_push_cond_ownpred	template_push	task_push.md	claude-opus-5,claude-sonnet-5
5.7-push	S4_push_verdict	template_push	task_push.md	claude-opus-5,claude-sonnet-5
5.7-push-nec	SN0_pushsha_baseline	template_push	task_push_sha.md	claude-opus-5,claude-sonnet-5
5.7-push-nec	SN1_pushsha_order_strong	template_push	task_push_sha.md	claude-opus-5,claude-sonnet-5
5.7-push-nec	SN2_pushsha_cond_size	template_push	task_push_sha.md	claude-opus-5,claude-sonnet-5
5.7-push-nec	SN3_pushsha_cond_ownpred	template_push	task_push_sha.md	claude-opus-5,claude-sonnet-5
5.7-del	D0_del_baseline	template_del_local	task_del.md	claude-opus-5,claude-sonnet-5
5.7-del	D1_del_order_strong	template_del_local	task_del.md	claude-opus-5,claude-sonnet-5
5.7-del	D2_del_cond_proxy	template_del_local	task_del.md	claude-opus-5,claude-sonnet-5
